Código,Nombre,Identificación,Teléfono,Celular,Email,Nombre Comercial,Tipo Cliente,País,Ciudad,Dirección,Nombre Contacto,dv,Nivel Precio,Días Crédito,Límite Crédito,Saldo Pendiente,Estado,Vendedor,Segmento,Notas
CLI-025,Empresa Cliente 25 Mediano,2000000025,+507 5025-2025,+507 6125-9283,contacto@cliente25.com,Tienda 25,b2b,Panamá,Panamá City,Avenida 25, Local 30,Gerente 25,01,A,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-026,Empresa Cliente 26 Mediano,2000000026,+507 5026-2026,+507 6126-9283,contacto@cliente26.com,Tienda 26,b2b,Panamá,Panamá City,Avenida 26, Local 31,Gerente 26,01,B,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-027,Empresa Cliente 27 Mediano,2000000027,+507 5027-2027,+507 6127-9283,contacto@cliente27.com,Tienda 27,b2b,Panamá,Panamá City,Avenida 27, Local 32,Gerente 27,01,C,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-028,Empresa Cliente 28 Mediano,2000000028,+507 5028-2028,+507 6128-9283,contacto@cliente28.com,Tienda 28,b2b,Panamá,Panamá City,Avenida 28, Local 33,Gerente 28,01,D,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-029,Empresa Cliente 29 Mediano,2000000029,+507 5029-2029,+507 6129-9283,contacto@cliente29.com,Tienda 29,b2b,Panamá,Panamá City,Avenida 29, Local 34,Gerente 29,01,E,30,50000,0,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-030,Empresa Cliente 30 Mediano,2000000030,+507 5030-2030,+507 6130-9283,contacto@cliente30.com,Tienda 30,b2b,Panamá,Panamá City,Avenida 30, Local 35,Gerente 30,01,A,30,50000,18000,active,Vendedor Master,MEDIANO,Cliente recurrente para validación de flujo completo de ventas
CLI-031,Empresa Cliente 31 Pequeño,2000000031,+507 5031-2031,+507 6131-9283,contacto@cliente31.com,Tienda 31,b2b,Panamá,Panamá City,Avenida 31, Local 36,Gerente 31,01,B,30,10000,0,active,Vendedor Master,PEQUEÑO,Cliente recurrente para validación de flujo completo de ventas
CLI-032,Empresa Cliente 32 Pequeño,2000000032,+507 5032-2032,+507 6132-9283,contacto@cliente32.com,Tienda 32,b2b,Costa Rica,Panamá City,Avenida 32, Local 37,Gerente 32,01,C,30,10000,0,active,Vendedor Master,PEQUEÑO,Cliente recurrente para validación de flujo completo de ventas
CLI-033,Empresa Cliente 33 Pequeño,2000000033,+507 5033-2033,+507 6133-9283,contacto@cliente33.com,Tienda 33,b2b,Panamá,Panamá City,Avenida 33, Local 38,Gerente 33,01,D,30,10000,0,active,Vendedor Master,PEQUEÑO,Cliente recurrente para validación de flujo completo de ventas
CLI-034,Empresa Cliente 34 Pequeño,2000000034,+507 5034-2034,+507 6134-9283,contacto@cliente34.com,Tienda 34,b2b,Panamá,Panamá City,Avenida 34, Local 39,Gerente 34,01,E,30,10000,0,active,Vendedor Master,PEQUEÑO,Cliente recurrente para validación de flujo completo de ventas
CLI-035,Empresa Cliente 35 Pequeño,2000000035,+507 5035-2035,+507 6135-9283,contacto@cliente35.com,Tienda 35,b2b,Panamá,Panamá City,Avenida 35, Local 40,Gerente 35,01,A,30,10000,0,active,Vendedor Master,PEQUEÑO,Cliente recurrente para validación de flujo completo de ventas
CLI-036,Empresa Cliente 36 Pequeño,2000000036,+507 5036-2036,+507 6136-9283,contacto@cliente36.com,Tienda 36,b2b,Panamá,Panamá City,Avenida 36, Local 41,Gerente 36,01,B,30,10000,0,active,Vendedor Master,PEQUEÑO,Cliente recurrente para validación de flujo completo de ventas
CLI-037,Empresa Cliente 37 Pequeño,2000000037,+507 5037-2037,+507 6137-9283,contacto@cliente37.com,Tienda 37,b2b,Panamá,Panamá City,Avenida 37, Local 42,Gerente 37,01,C,30,10000,0,active,Vendedor Master,PEQUEÑO,Cliente recurrente para validación de flujo completo de ventas
CLI-038,Empresa Cliente 38 Pequeño,2000000038,+507 5038-2038,+507 6138-9283,contacto@cliente38.com,Tienda 38,b2b,Panamá,Panamá City,Avenida 38, Local 43,Gerente 38,01,D,30,10000,0,active,Vendedor Master,PEQUEÑO,Cliente recurrente para validación de flujo completo de ventas
CLI-039,Empresa Cliente 39 Pequeño,2000000039,+507 5039-2039,+507 6139-9283,contacto@cliente39.com,Tienda 39,b2b,Panamá,Panamá City,Avenida 39, Local 44,Gerente 39,01,E,30,10000,0,active,Vendedor Master,PEQUEÑO,Cliente recurrente para validación de flujo completo de ventas
CLI-040,Empresa Cliente 40 Pequeño,2000000040,+507 5040-2040,+507 6140-9283,contacto@cliente40.com,Tienda 40,b2b,Costa Rica,Panamá City,Avenida 40, Local 45,Gerente 40,01,A,30,10000,20000,active,Vendedor Master,PEQUEÑO,Cliente recurrente para validación de flujo completo de ventas
CLI-041,Empresa Cliente 41 Nuevo,2000000041,+507 5041-2041,+507 6141-9283,contacto@cliente41.com,Tienda 41,b2b,Panamá,Panamá City,Avenida 41, Local 46,Gerente 41,01,B,30,10000,0,active,Vendedor Master,NUEVO,Cliente recurrente para validación de flujo completo de ventas
CLI-042,Empresa Cliente 42 Nuevo,2000000042,+507 5042-2042,+507 6142-9283,contacto@cliente42.com,Tienda 42,b2b,Panamá,Panamá City,Avenida 42, Local 47,Gerente 42,01,C,30,10000,0,active,Vendedor Master,NUEVO,Cliente recurrente para validación de flujo completo de ventas
CLI-043,Empresa Cliente 43 Nuevo,2000000043,+507 5043-2043,+507 6143-9283,contacto@cliente43.com,Tienda 43,b2b,Panamá,Panamá City,Avenida 43, Local 48,Gerente 43,01,D,30,10000,0,active,Vendedor Master,NUEVO,Cliente recurrente para validación de flujo completo de ventas
CLI-044,Empresa Cliente 44 Nuevo,2000000044,+507 5044-2044,+507 6144-9283,contacto@cliente44.com,Tienda 44,b2b,Panamá,Panamá City,Avenida 44, Local 49,Gerente 44,01,E,30,10000,0,active,Vendedor Master,NUEVO,Cliente recurrente para validación de flujo completo de ventas
CLI-045,Empresa Cliente 45 Nuevo,2000000045,+507 5045-2045,+507 6145-9283,contacto@cliente45.com,Tienda 45,b2b,Panamá,Panamá City,Avenida 45, Local 50,Gerente 45,01,A,30,10000,21000,active,Vendedor Master,NUEVO,Cliente recurrente para validación de flujo completo de ventas
CLI-046,Empresa Cliente 46 Nuevo,2000000046,+507 5046-2046,+507 6146-9283,contacto@cliente46.com,Tienda 46,b2c,Panamá,Panamá City,Avenida 46, Local 51,Gerente 46,01,B,30,10000,0,inactive,Vendedor Master,NUEVO,Cliente recurrente para validación de flujo completo de ventas
CLI-047,Empresa Cliente 47 Nuevo,2000000047,+507 5047-2047,+507 6147-9283,contacto@cliente47.com,Tienda 47,b2c,Panamá,Panamá City,Avenida 47, Local 52,Gerente 47,01,C,30,10000,0,active,Vendedor Master,NUEVO,Cliente recurrente para validación de flujo completo de ventas
CLI-048,Empresa Cliente 48 Nuevo,2000000048,+507 5048-2048,+507 6148-9283,contacto@cliente48.com,Tienda 48,b2c,Costa Rica,Panamá City,Avenida 48, Local 53,Gerente 48,01,D,30,10000,0,inactive,Vendedor Master,NUEVO,Cliente recurrente para validación de flujo completo de ventas
CLI-049,Empresa Cliente 49 Nuevo,2000000049,+507 5049-2049,+507 6149-9283,contacto@cliente49.com,Tienda 49,b2c,Panamá,Panamá City,Avenida 49, Local 54,Gerente 49,01,E,30,10000,0,active,Vendedor Master,NUEVO,Cliente recurrente para validación de flujo completo de ventas
CLI-050,Empresa Cliente 50 Nuevo,2000000050,+507 5050-2050,+507 6150-9283,contacto@cliente50.com,Tienda 50,b2c,Panamá,Panamá City,Avenida 50, Local 55,Gerente 50,01,A,30,10000,22000,inactive,Vendedor Master,NUEVO,Cliente recurrente para validación de flujo completo de ventas
