Nombre Legal,Código,Nombre Comercial,NIT/RNC,Email,Teléfono,País,Dirección,Ciudad,Plazo de Pago,dv,Tipo Proveedor,Moneda,Límite Crédito,Saldo Pendiente,Estado,Banco,Cuenta Bancaria,Notas
Proveedor Demo 18 LOC,SUP-018,Comercial 18,8000000018,admin@supplier18.com,+507 6018-1018,Panamá,Calle 18, Edificio 36,Panamá City,30,10,MERCHANDISE,PAB,50000,0,active,Scotiabank,PA00-7483-2947-1018,Socio comercial estratégico para pruebas QA
Proveedor Demo 19 LOC,SUP-019,Comercial 19,8000000019,admin@supplier19.com,+507 6019-1019,Panamá,Calle 19, Edificio 38,Panamá City,60,10,SERVICES,PAB,50000,0,active,Global Bank,PA00-7483-2947-1019,Socio comercial estratégico para pruebas QA
Proveedor Demo 20 LOC,SUP-020,Comercial 20,8000000020,admin@supplier20.com,+507 6020-1020,Panamá,Calle 20, Edificio 40,Panamá City,0,10,SERVICES,PAB,50000,25000,active,Banco General,PA00-7483-2947-1020,Socio comercial estratégico para pruebas QA
Proveedor Demo 21 LOC,SUP-021,Comercial 21,8000000021,admin@supplier21.com,+507 6021-1021,Panamá,Calle 21, Edificio 42,Panamá City,30,10,SERVICES,PAB,50000,0,active,BAC Credomatic,PA00-7483-2947-1021,Socio comercial estratégico para pruebas QA
Proveedor Demo 22 LOC,SUP-022,Comercial 22,8000000022,admin@supplier22.com,+507 6022-1022,Panamá,Calle 22, Edificio 44,Panamá City,60,10,SERVICES,PAB,50000,0,active,Banistmo,PA00-7483-2947-1022,Socio comercial estratégico para pruebas QA
Proveedor Demo 23 LOC,SUP-023,Comercial 23,8000000023,admin@supplier23.com,+507 6023-1023,Panamá,Calle 23, Edificio 46,Panamá City,0,10,SERVICES,PAB,50000,0,active,Scotiabank,PA00-7483-2947-1023,Socio comercial estratégico para pruebas QA
Proveedor Demo 24 LOC,SUP-024,Comercial 24,8000000024,admin@supplier24.com,+507 6024-1024,Panamá,Calle 24, Edificio 48,Panamá City,30,10,SERVICES,PAB,50000,0,active,Global Bank,PA00-7483-2947-1024,Socio comercial estratégico para pruebas QA
Proveedor Demo 25 LOC,SUP-025,Comercial 25,8000000025,admin@supplier25.com,+507 6025-1025,Panamá,Calle 25, Edificio 50,Panamá City,60,10,OPERATIONAL,PAB,50000,30000,active,Banco General,PA00-7483-2947-1025,Socio comercial estratégico para pruebas QA
Proveedor Demo 26 LOC,SUP-026,Comercial 26,8000000026,admin@supplier26.com,+507 6026-1026,Panamá,Calle 26, Edificio 52,Panamá City,0,10,OPERATIONAL,PAB,50000,0,active,BAC Credomatic,PA00-7483-2947-1026,Socio comercial estratégico para pruebas QA
Proveedor Demo 27 LOC,SUP-027,Comercial 27,8000000027,admin@supplier27.com,+507 6027-1027,Panamá,Calle 27, Edificio 54,Panamá City,30,10,OPERATIONAL,PAB,50000,0,active,Banistmo,PA00-7483-2947-1027,Socio comercial estratégico para pruebas QA
Proveedor Demo 28 LOC,SUP-028,Comercial 28,8000000028,admin@supplier28.com,+507 6028-1028,Panamá,Calle 28, Edificio 56,Panamá City,60,10,OPERATIONAL,PAB,50000,0,active,Scotiabank,PA00-7483-2947-1028,Socio comercial estratégico para pruebas QA
Proveedor Demo 29 LOC,SUP-029,Comercial 29,8000000029,admin@supplier29.com,+507 6029-1029,Panamá,Calle 29, Edificio 58,Panamá City,0,10,OPERATIONAL,PAB,50000,0,inactive,Global Bank,PA00-7483-2947-1029,Socio comercial estratégico para pruebas QA
Proveedor Demo 30 LOC,SUP-030,Comercial 30,8000000030,admin@supplier30.com,+507 6030-1030,Panamá,Calle 30, Edificio 60,Panamá City,30,10,OPERATIONAL,PAB,50000,35000,active,Banco General,PA00-7483-2947-1030,Socio comercial estratégico para pruebas QA
